Date,Name,Text
2022-02-25,Стенограмма заседания парламента (2022.02.25),"The invasion of the Russian army into Ukrainian territory shakes the foundation of the international order of not allowing a unilateral change in the status quo by force, and I strongly condemn Russia"
2022-02-25,Стенограмма заседания парламента (2022.02.25),"working closely with the international community, including the G7, we have decided to quickly take similar measures in line with the United States and European countries in the financial field and export management"
2022-02-25,Стенограмма заседания парламента (2022.02.25),"As for Russia, we have developed diplomacy to develop the entire Japan-Russia relationship in a way that contributes to the national interest, including the issue of signing a peace treaty."
2022-02-25,Стенограмма заседания парламента (2022.02.25),"I hope that the day will come soon when Russia will take the accusations of the international community seriously, stop the invasion, move towards a diplomatic solution to the problem, and return relations with the international community, including Japan, to normal"
2022-03-04,Стенограмма заседания парламента (2022.03.04),I feel that the structure of the big world is about to change with the Ukraine issue as a starting point
2022-03-04,Стенограмма заседания парламента (2022.03.04),"I believe that uniting with countries that have the same freedom, human rights, equality under the law, and these values is the greatest essence for us to maintain our future prosperity in the midst of this"
2022-03-04,Стенограмма заседания парламента (2022.03.04),our action in unison with the G7 will greatly contribute to our national interests in the long run.
2022-03-04,Стенограмма заседания парламента (2022.03.04),"Our various sanctions against Russia this time, freezing measures against individuals, these things, of course, I don't know if this expression is appropriate, but it will be blood"
2022-03-04,Стенограмма заседания парламента (2022.03.04),I would like to do my best to support the people of Ukraine who are facing difficulties and promote the acceptance of refugees.
2022-03-04,Стенограмма заседания парламента (2022.03.04),Our country has been responding to this Russian invasion of Ukraine in cooperation with the G7 framework and other international communities
2022-03-04,Стенограмма заседания парламента (2022.03.04),"we would like to continue to implement sanctions against Russia in a timely and appropriate manner while working closely at various levels, including leaders and ministers."
2022-03-04,Стенограмма заседания парламента (2022.03.04),it is not expected that the strengthening of sanctions against Russia so far will affect the stable supply of energy to Japan
2022-03-04,Стенограмма заседания парламента (2022.03.04),I would like to keep pace with the G7 and respond appropriately as our government
2022-03-04,Стенограмма заседания парламента (2022.03.04),"We would like to continue to work in cooperation with the international community, including the G7, based on the situation."
2022-03-04,Стенограмма заседания парламента (2022.03.04),"As for the Financial Services Agency, we will respond closely with the international community, including the G7, to ensure the effectiveness of sanctions against Russia."
2022-03-04,Стенограмма заседания парламента (2022.03.04),"The main principle of Japan's territorial problem and the conclusion of a peace treaty with Russia is that even in this situation, this is already a major goal"
2022-03-04,Стенограмма заседания парламента (2022.03.04),Japan's various activities with Russia in the northern four islands are also restricted by the Russian side
2022-03-04,Стенограмма заседания парламента (2022.03.04),"regarding the situation in Ukraine, the International Criminal Court has begun investigating war crimes"
2022-03-04,Стенограмма заседания парламента (2022.03.04),"Russia's military action against Ukraine is an attempt to unilaterally change the status quo by force, and it is an act that shakes the foundation of the international order and is a clear violation of international law."
2022-03-04,Стенограмма заседания парламента (2022.03.04),"I can't tolerate it, and I will severely condemn it."
2022-03-04,Стенограмма заседания парламента (2022.03.04),"Japan believes that human rights are universal values, and that the protection of human rights is the basic responsibility of all countries."
2022-03-04,Стенограмма заседания парламента (2022.03.04),"Japan has decided to freeze personal assets against Mr. Putin, but if you change your perspective and think that there is a security reason, North Korea's nuclear weapons, missiles, and kidnappings are more than Russia's invasion of Ukraine"
2022-03-04,Стенограмма заседания парламента (2022.03.04),"this invasion of Ukraine is a serious situation that will shake the foundation of the order of the international community, including Asia"
2022-03-04,Стенограмма заседания парламента (2022.03.04),"I think that it is very important to cooperate with the G7 just now, and in the sense that such a change in the status quo by such unilateral force should not be allowed in the Indo-Pacific and East Asia."
2022-03-04,Стенограмма заседания парламента (2022.03.04),"but while preparing for all kinds of situations, we would like to work as much as possible to ensure the safety of Japanese people, including overseas support, while working closely with Japanese people."
2022-03-04,Стенограмма заседания парламента (2022.03.04),Russian President Putin decided to invade Ukraine this time
2022-03-04,Стенограмма заседания парламента (2022.03.04),Russia's invasion of Ukraine this time is an attempt to change the status quo unilaterally by force and an act that shakes the foundation of the international order. It cannot be justified for any reason.
2022-03-04,Стенограмма заседания парламента (2022.03.04),It is a clear violation of international law
2022-03-04,Стенограмма заседания парламента (2022.03.04),"In addition, the Budapest Memorandum of 1994 mentioned earlier, which is confirmed by Russia, the United States, and the United Kingdom, that Ukraine will preserve its territory in exchange for giving up nuclear weapons, so to speak, so this The Japanese government is in a position to severely condemn this invasion"
2022-03-04,Стенограмма заседания парламента (2022.03.04),it was attacked by Russia now
2022-03-04,Стенограмма заседания парламента (2022.03.04),"among the neighboring countries of Ukraine, I think it is important to support Moldova"
2022-03-04,Стенограмма заседания парламента (2022.03.04),Russia has been military in the area around the Ukrainian border since last year.
2022-03-04,Стенограмма заседания парламента (2022.03.04),"The United States and NATO have tried to resolve this crisis through diplomatic negotiations with Russia, but on February 24, Russia claimed to exercise the right of self-defense at the request of the self-proclaimed Donetsk People's Republic and the Luhansk People's Republic"
2022-03-04,Стенограмма заседания парламента (2022.03.04),"This is a clear violation of international law and an act that shakes the foundation of the international order, so we believe that it cannot be justified for any reason."
2022-03-04,Стенограмма заседания парламента (2022.03.04),"there are people who often say that before the war, Japan couldn't get information, so that's why they got into that war"
2022-03-04,Стенограмма заседания парламента (2022.03.04),Our neighboring country is Russia
2022-03-04,Стенограмма заседания парламента (2022.03.04),"the problem of Russia's invasion of Ukraine, this heinous Russian military invasion, this atrocious military invasion, is absolutely unacceptable, but in response to this military invasion, Japan finally has a realistic and logical discussion on security"
2022-03-04,Стенограмма заседания парламента (2022.03.04),"we provide weapons to the Ukrainian army, dispatch multinational response forces to Eastern Europe, and provide intelligence and conduct information warfare through disclosure"
2022-03-04,Стенограмма заседания парламента (2022.03.04),Western political leaders
2022-03-04,Стенограмма заседания парламента (2022.03.04),"compared to the annexation of the Crimean Peninsula, more than forty countries voted in favor, so I think this is an achievement for the international community, but what we want to ask is what Japan does among them?"
2022-03-04,Стенограмма заседания парламента (2022.03.04),"we should cooperate with Western countries to gradually activate economic sanctions, and encourage ceasefire negotiations with Russia and Ukraine to achieve results"
2022-03-04,Стенограмма заседания парламента (2022.03.04),We have already made progress to a certain extent against Russia.
2022-03-04,Стенограмма заседания парламента (2022.03.04),we are preparing to send troops in an inconspicuous place and cooperate with the Russian army
2022-03-04,Стенограмма заседания парламента (2022.03.04),"Regarding Russia's current invasion of Ukraine, Japan has been responding in cooperation with the international community, including the G7"
2022-03-04,Стенограмма заседания парламента (2022.03.04),create a place for dialogue with the international community
2022-03-04,Стенограмма заседания парламента (2022.03.04),Ukraine has requested the ICJ to instruct Russia to file a lawsuit with the International Court of Justice and to instruct the interim measure to order Russia to immediately suspend military action
